Diện tích (m^2),Khu vực,Mô tả vị trí,Mặt tiền (m),Số phòng ngủ,WC,Giá nhà (Tỷ)
100,Quận Sơn Trà,NHÀ MẶT PHỐ,5,3.0,2.0,7.4
204,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,10,3.0,3.0,0.07
204,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,10,5.5,7.0,0.07
100,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,5.8
81,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,5.9
40,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,3,3.0,3.0,2.45
72,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,2.4
204,Quận Sơn Trà,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,6.0,22.0
55,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,4,3.0,2.0,3.3
70,Quận Hải Châu,NHÀ MẶT PHỐ,4,3.0,2.0,4.97
43,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,2.0,2.0,2.99
76,Quận Hải Châu,NHÀ MẶT PHỐ,3,4.0,3.0,13.75
113,Quận Hải Châu,NHÀ MẶT PHỐ,10,4.0,5.0,16.0
100,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,5.0,9.5
75,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,4.0,5.79
76,Quận Thanh Khê,NHÀ ĐẤT THỔ CƯ,5,3.0,2.0,4.6
100,Quận Sơn Trà,CĂN HỘ CHUNG CƯ,10,3.0,3.0,5.0
92,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,3.0,3.0,5.9
100,Quận Sơn Trà,NHÀ MẶT PHỐ,5,2.0,1.0,3.69
140,Quận Sơn Trà,NHÀ MẶT PHỐ,5,5.5,7.0,18.0
68,Quận Thanh Khê,NHÀ TRONG NGÕ,3,5.0,2.0,3.7
120,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,8,5.5,7.0,20.0
204,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,10,5.5,7.0,5.28
100,Quận Liên Chiểu,NHÀ MẶT PHỐ,5,3.0,3.0,5.75
57,Quận Thanh Khê,NHÀ MẶT PHỐ,5,4.0,5.0,8.2
90,Huyện Hòa Vang,NHÀ MẶT PHỐ,5,3.0,3.0,3.55
204,Quận Cẩm Lệ,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,3.0,12.0
94,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,4,3.0,4.0,0.57233
80,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,5,4.0,4.0,5.2
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,5.0,20.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,3.0,4.0,12.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,4.14
120,Quận Hải Châu,NHÀ MẶT PHỐ,6,4.0,4.0,11.5
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,5.0,5.0,20.3
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,14.0
200,Quận Hải Châu,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,22.0
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,12.2
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,5.0,12.8
204,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",10,4.0,4.0,11.38
100,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",5,5.5,7.0,17.0
204,Quận Sơn Trà,NHÀ ĐẤT THỔ CƯ,8,1.5,1.0,12.0
86,Quận Cẩm Lệ,NHÀ MẶT PHỐ,4,3.0,3.0,5.5
100,Quận Hải Châu,NHÀ ĐẤT THỔ CƯ,5,4.0,5.0,15.0
119,Quận Hải Châu,NHÀ MẶT PHỐ,4,4.0,4.0,18.0
200,Quận Ngũ Hành Sơn,NHÀ ĐẤT THỔ CƯ,10,4.0,3.0,0.2
142,Quận Ngũ Hành Sơn,"NHÀ BIỆT THỰ, LIỀN KỀ",8,3.0,2.0,7.05
105,Quận Sơn Trà,NHÀ MẶT PHỐ,5,5.5,7.0,18.5
125,Quận Ngũ Hành Sơn,NHÀ MẶT PHỐ,7,5.5,7.0,19.0
91,Quận Liên Chiểu,NHÀ ĐẤT THỔ CƯ,4,2.0,1.0,2.05
90,Quận Cẩm Lệ,NHÀ TRONG NGÕ,5,2.0,3.0,1.92
