Giá nhà,Diện tích (m^2),Khu vực,Mô tả vị trí,Mặt tiền (m),Số phòng ngủ,WC
7.4 Tỷ,100,"Phường An Hải Bắc, Quận Sơn Trà",Nhà mặt phố,5,3.0,2.0
212.1 Tỷ,4242,"Phường An Hải Tây, Quận Sơn Trà",Căn hộ chung cư,4242,,
2500 Tỷ,4242,"Phường An Hải Tây, Quận Sơn Trà",Căn hộ chung cư,4242,,
70 Triệu,4242,"Phường An Hải Tây, Quận Sơn Trà",Căn hộ chung cư,4252,,
212.1 Tỷ,4242,"Phường An Hải Tây, Quận Sơn Trà",Căn hộ chung cư,4242,11.0,11.0
70 Triệu,4242,"Phường An Hải Tây, Quận Sơn Trà",Căn hộ chung cư,4242,11.0,11.0
3800 Tỷ,100,"Phường Hòa Quý, Quận Ngũ Hành Sơn",Nhà đất thổ cư,5,3.0,2.0
5.8 Tỷ,100,"Phường Hòa Minh, Quận Liên Chiểu",Nhà đất thổ cư,5,4.0,4.0
5.9 Tỷ,81,"Phường Thanh Khê Tây, Quận Thanh Khê",Nhà đất thổ cư,5,3.0,2.0
2.45 Tỷ,40,"Phường Tam Thuận, Quận Thanh Khê",Nhà đất thổ cư,3,3.0,3.0
2.4 Tỷ,72,"Phường Chính Gián, Quận Thanh Khê",Nhà đất thổ cư,5,3.0,
22 Tỷ,250,"Phường An Hải Tây, Quận Sơn Trà","Nhà biệt thự, liền kề",10,4.0,6.0
3.3 Tỷ,55,"Phường Nam Dương, Quận Hải Châu",Nhà đất thổ cư,4,3.0,2.0
4.97 Tỷ,70,"Phường Hòa Cường Nam, Quận Hải Châu",Nhà mặt phố,4,3.0,2.0
2.99 Tỷ,43,"Phường Bình Hiên, Quận Hải Châu",Nhà đất thổ cư,5,2.0,2.0
13.75 Tỷ,76,"Phường Bình Thuận, Quận Hải Châu",Nhà mặt phố,3,4.0,3.0
16 Tỷ,113,"Phường Hòa Thuận Tây, Quận Hải Châu",Nhà mặt phố,11,4.0,5.0
9.5 Tỷ,100,"Phường Hòa Khê, Quận Thanh Khê",Nhà mặt phố,5,4.0,5.0
5.79 Tỷ,75,"Phường Chính Gián, Quận Thanh Khê",Nhà mặt phố,5,4.0,4.0
4.6 Tỷ,76,"Phường Chính Gián, Quận Thanh Khê",Nhà đất thổ cư,5,3.0,2.0
5 Tỷ,100,"Phường An Hải Tây, Quận Sơn Trà",Căn hộ chung cư,1600,,
